Candidate,County,Number of Votes,Ten Percent of Vote,Tweet List
trump,Polk,22%,Y,"['NewsFixHouston: Trump skips debate, but was there inspirit https://t.co/nBIwVVrNCu\n', ""Bertine83: Hier @MartinOMalley rallying the troops. Over #Trump: 'Someone who is increasingly making fascist appeals' #Iowa2016 https://t.co/yNZNTu2E0X\n"", ""Bertine83: Hier @MartinOMalley rallying the troops. Over #Trump: 'Someone who is increasingly making fascist appeals' #Iowa2016 https://t.co/yNZNTu2E0X\n"", ""GingerGibson: Donald Trump's sons, Donald JR and Eric, shoot weapons at a range in Johnston, Iowa. @ https://t.co/hD5k11MkoC\n"", ""GingerGibson: The assembled press wasn't allowed into the range with Donald Trump's sons and had to watch from https://t.co/Y8V10wweVo\n"", ""Bertine83: Voorpagina @DMRegister dag voor #IowaCaucuses: Trump 'little room for error. He is almost no one's second choice' https://t.co/jvtoKqJTl6\n"", ""Bertine83: Trumps argumenten tegen @TedCruz nobody likes him en Canada. @DMRegister poll laat zien dat ppl don't care #Iowa2016 https://t.co/orfK34BzQv\n"", ""Bertine83: Trumps argumenten tegen @TedCruz nobody likes him en Canada. @DMRegister poll laat zien dat ppl don't care #Iowa2016 https://t.co/orfK34BzQv\n"", ""Bertine83: Trumps argumenten tegen @TedCruz nobody likes him en Canada. @DMRegister poll laat zien dat ppl don't care #Iowa2016 https://t.co/orfK34BzQv\n"", 'JIVBoat: Donald Trump piata being interviewed by Swedish TV. @ Des Moines, Iowa https://t.co/pOcVg8K3KV\n']"
trump,Pottawattamie,35%,Y,"[""ljkaluza: One of the few thing I'll wait in line for- to see @realDonaldTrump speak!\n"", ""ljkaluza: One of the few thing I'll wait in line for- to see @realDonaldTrump speak!\n"", 'SopanDeb: At church with Donald Trump. He swayed and bobbed his head with the church music that played. Seemed into it. https://t.co/Ql08CkXpCO\n', ""SopanDeb: The title of today's sermon that Trump is attending. Finding your way back to God - Awakening to help. https://t.co/pqBSIU2WHk\n"", 'SopanDeb: Church tells me these are the verses that will be read today, while Trump is in attendance https://t.co/MghBJKliiW\n', 'SopanDeb: The songs played by church band at beginning of the service. Great musicians, I must say. Trump swayed and bobbed. https://t.co/q3Unj0GmyV\n']"
trump,Poweshiek,26%,Y,
trump,Ringgold,32%,Y,
trump,Sac,32%,Y,
trump,Scott,25%,Y,
trump,Shelby,27%,Y,
trump,Sioux,11%,Y,
trump,Story,15%,Y,
trump,Tama,36%,Y,
